      Table 2. Recommended Rest Frequencies for Observed Interstellar Molecular Lines.                                              
                                                                                                                                    
_____________________________________________________________________________________________________________                       
                                                                                                                                    
  Frequency  Unc.  Formula    Quantum Numbers              Tr(K)  Source         Telescope    Astr.  Lab.                           
                                                          /Ta(K)                              Ref.   Ref.                           
_____________________________________________________________________________________________________________                       
                                                                                                                                    
   68972.154*( 4) SO2        6(1,5)-6(0,6)                 0.8   OriMC-1         NRAO    11m  Joh76                                 
   69464.094*( 9) SO2        14(4,10)-15(3,13)             0.70  OriMC-1         OSO     20m  Sch83                                 
   69534.310*(12) CH3CH2CN   8(1,8)-7(1,7)                 0.20  OriMC-1         OSO     20m  Joh84                                 
   69575.927*( 3) SO2        1(1,1)-0(0,0)                 0.6   OriMC-1         NRAO    11m  Joh76                                 
   69607.15  (10) CH3OH vt=1? 9(1)-10(2) A+                0.30  OriMC-1         OSO     20m  Joh84                                 
   69653.586*( 5) SO2        3(2,2)-4(1,3)                 0.60  OriMC-1         OSO     20m  Sch83                                 
   70733.213*(52) D13CO+     1-0                           0.079 TMC-1           BTL      7m  Gue82b                                
   71024.781*( 4) H213CO     1(0,1)-0(0,0)                 0.06  OriMC-1         BTL      7m  Kah84                                 
   71971.61 *(14) CH3CH2OH   10(1,9)-10(0,10)              0.05  Sgr B2          BTL      7m  Cum85                                 
   72039.331*(13) DCO+       1-0                           0.87  L134            NRAO    11m  Hol76                                 
   72108.609*(11) CH3CH2CN   8(2,6)-7(2,5)                 0.07  Sgr B2          BTL      7m  Cum85                                 
   72409.092*(12) H2CO       5(1,4)-5(1,5)                 0.1   OriMC-1         NRAO    11m  Wil73                                 
   72413.4843(10) DCN        1-0 F'=1-1 F=1-0,1,2           b    OriMC-1         NRAO    11m  Wil73  DeL69                          
   72413.5143(10) DCN        1-0 F'=1-1 F=2-1,2            0.2b  OriMC-1         NRAO    11m  Wil73  DeL69                          
   72413.5584(10) DCN        1-0 F'=1-1 F=0-0,1             b    OriMC-1         NRAO    11m  Wil73  DeL69                          
   72414.9054(10) DCN        1-0 F'=2-1 F=1-0,1,2           b    OriMC-1         NRAO    11m  Wil73  DeL69                          
   72414.9270(10) DCN        1-0 F'=2-1 F=2-1,2            0.25b OriMC-1         NRAO    11m  Wil73  DeL69                          
   72414.9732(10) DCN        1-0 F'=2-1 F=3-2               b    OriMC-1         NRAO    11m  Wil73  Del69                          
   72417.0297(10) DCN        1-0 F'=0-1 F=1-0,1,2          0.2   OriMC-1         NRAO    11m  Wil73  Del69                          
   72475.074*(11) HC13CCN    8-7                           0.08  IRC+10216       OSO     20m  Joh84                                 
   72482.056*( 5) HCC13CN    8-7                           0.08  IRC+10216       OSO     20m  Joh84                                 
   72618.102*(10) SiS        4-3                           0.77  IRC+10216       OSO     20m  Joh84                                 
   72668.123*(24) SO2        26(4,22)-25(5,21)             0.30  OriMC-1         OSO     20m  Sch83                                 
   72680.848*(88) HCOOCH3    6(2,5)-5(2,4) E               0.18  OriMC-1         OSO     20m  Joh84                                 
   72685.581*(20) HCOOCH3    6(2,5)-5(2,4) A               0.18  OriMC-1         OSO     20m  Joh84                                 
U  72721.         unidentified                             0.15  OriMC-1         OSO     20m  Joh84                                 
   72758.242*( 2) SO2        6(0,6)-5(1,5)                 0.8   OriMC-1         NRAO    11m  Joh76                                 
   72758.242*( 2) SO2        6(0,6)-5(1,5)                 3.40  OriMC-1         OSO     20m  Sch83                                 
   72783.824*( 2) HC3N       8-7                           2.29  Sgr B2          NRAO    11m  Mor76                                 
   72837.950*( 5) H2CO       1(0,1)-0(0,0)                 0.5   OriMC-1         TAO      6m  Aka74                                 
   72962.731*(23) HC3N       8-7 v7 1e-1e                  0.15  OriMC-1         OSO     20m  Joh84                                 
   72976.7794(10) OCS        6-5                           0.25  Sgr B2          TAO      6m  Aka74  Dub80                          
   73044.01  (10) CH3NH2     5(1,5)-5(0,5) F=4-4            b    Sgr B2          TAO      6m  Kai74  Kai74                          
   73044.20  (10) CH3NH2     5(1,5)-5(0,5) F=6-6           0.5b  Sgr B2          TAO      6m  Kai74  Kai74                          
   73045.15  (10) CH3NH2     5(1,5)-5(0,5) F=5-5            b    Sgr B2          TAO      6m  Kai74  Kai74                          
   73081.190*( 8) CH3CH2OH?  4(2,2)-4(1,3)                 0.10  Sgr B2          BTL      7m  Cum85                                 
   73466.93 *(10) CH3OCH3    10(2,8)-10(1,9) EA+AE          b    OriMC-1         OSO     20m  Joh84                                 
   73468.71 *( 5) CH3OCH3    10(2,8)-10(1,9) EE            0.20b OriMC-1         OSO     20m  Joh84                                 
   73470.49 *( 5) CH3OCH3    10(2,8)-10(1,9) AA             b    OriMC-1         OSO     20m  Joh84                                 
   73577.453*( 2) CH3CN      4(3)-3(3)                     0.83  OriMC-1         OSO     20m  Joh84                                 
   73584.545*( 2) CH3CN      4(2)-3(2)                     1.00  OriMC-1         OSO     20m  Joh84                                 
   73588.801*( 2) CH3CN      4(1)-3(1)                     2.20b OriMC-1         OSO     20m  Joh84                                 
   73590.220*( 2) CH3CN      4(0)-3(0)                      b    OriMC-1         OSO     20m  Joh84                                 
   73664.38 *(12) HCOOCH3    6(5,2)-5(5,1) E                b    OriMC-1         OSO     20m  Joh84                                 
   73665.596*(25) HCOOCH3    6(5,2)-5(5,1) A               0.15b OriMC-1         OSO     20m  Joh84                                 
   73665.736*(25) HCOOCH3    6(5,1)-5(5,0) A                b    OriMC-1         OSO     20m  Joh84                                 
   73720.51 *(15) CH3OCH3    9(2,7)-9(1,8) AE+EA            b    OriMC-1         OSO     20m  Joh84                                 
   73722.40 *( 5) CH3OCH3    9(2,7)-9(1,8) EE              0.25b OriMC-1         OSO     20m  Joh84                                 
   73724.28 *( 4) CH3OCH3    9(2,7)-9(1,8) AA               b    OriMC-1         OSO     20m  Joh84                                 
   73782.91 *(10) HCOOCH3    6(4,2)-5(4,1) E                b    OriMC-1         OSO     20m  Joh84                                 
   73784.523*(20) HCOOCH3    6(4,3)-5(4,2) A               0.15b OriMC-1         OSO     20m  Joh84                                 
   73787.88 *(10) HCOOCH3    6(4,3)-5(4,2) E                b    OriMC-1         OSO     20m  Joh84                                 
   73796.793*(20) HCOOCH3    6(4,2)-5(4,1) A               0.10  OriMC-1         OSO     20m  Joh84                                 
   73842.    ( 1) CH3OH vt=1? 9(1)-10(2) A-                0.30  OriMC-1         OSO     20m  Joh84                                 
   74149.26 *(14) CH3OCH3    11(2,9)-11(1,10) EA+AE         b    OriMC-1         OSO     20m  Joh84                                 
   74150.95 *( 9) CH3OCH3    11(2,9)-11(1,10) EE           0.30b OriMC-1         OSO     20m  Joh84                                 
   74152.64 *( 5) CH3OCH3    11(2,9)-11(1,10) AA            b    OriMC-1         OSO     20m  Joh84                                 
   74263.58 *(13) HCOOCH3    6(3,3)-5(3,2) E               0.15  OriMC-1         OSO     20m  Joh84                                 
   74296.755*(19) HCOOCH3    6(3,3)-5(3,2) A               0.20  OriMC-1         OSO     20m  Joh84                                 
   74404.579*(39) 34SO2      6(0,6)-5(1,5)                 0.30  OriMC-1         OSO     20m  Sch83                                 
   74551.989*( 4) HC5N       28-27                         0.30  IRC+10216       OSO     20m  Joh84                                 
   74747.51 *(16) CH3OCH3    8(2,6)-8(1,7) AE+EA            b    OriMC-1         OSO     20m  Joh84                                 
   74749.50 *(10) CH3OCH3    8(2,6)-8(1,7) EE              0.20b OriMC-1         OSO     20m  Joh84                                 
   74751.49 *( 4) CH3OCH3    8(2,6)-8(1,7) AA               b    OriMC-1         OSO     20m  Joh84                                 
   74866.514*(16) SO2        24(6,18)-25(5,21)             0.20  OriMC-1         OSO     20m  Sch83                                 
   74891.643*(34) CH3CHO?    4(1,4)-3(1,3) A               0.13  Sgr B2          BTL      7m  Cum85                                 
   74926.336*(57) CH3CHO?    4(1,4)-3(1,3) E               0.07  Sgr B2          BTL      7m  Cum85                                 
   74976.040*( 8) CH3CH2OH   3(1,3)-2(0,2)                 0.23  Sgr B2          BTL      7m  Cum85                                 
   75399.248*( 6) NaOH       3-2                           0.04  Sgr B2          NRAO    11m  Wil81                                 
   75515.35  (10) CH3OH      13(-5)-14(-4) E               0.37  OriMC-1         OSO     20m  Joh84  Sas84                          
   75585.695*(17) CH2CHCN    8(0,8)-7(0,7)                 0.10  Sgr B2          BTL      7m  Cum85                                 
U  75656.         unidentified                             0.12  OriMC-1         OSO     20m  Joh84                                 
   75816.45  ( 5) CH3SH      3(-1)-2(-1) E                ~0.05  Sgr B2          BTL      7m  Lin79  Lee80                          
   75838.866*(16) CH2CHCN?   8(2,7)-7(2,6)                 0.06  Sgr B2          BTL      7m  Cum85                                 
   75862.87  ( 5) CH3SH      3( 0)-2( 0) A                 0.19b Sgr B2          BTL      7m  Lin79  Lee80                          
   75864.43  ( 5) CH3SH      3( 0)-2( 0) E                  b    Sgr B2          BTL      7m  Lin79  Lee80                          
   75906.42 *(14) CH3OCH3    12(2,10)-12(1,11) AE+EA        b    OriMC-1         OSO     20m  Joh84                                 
   75908.03 *(10) CH3OCH3    12(2,10)-12(1,11) EE          0.30b OriMC-1         OSO     20m  Joh84                                 
   75909.65 *( 7) CH3OCH3    12(2,10)-12(1,11) AA           b    OriMC-1         OSO     20m  Joh84                                 
   75921.978*(13) CH2CHCN?   8(4,5)-7(4,4)                 0.06b Sgr B2          BTL      7m  Cum85                                 
   75922.000*(13) CH2CHCN?   8(4,4)-7(4,3)                  b    Sgr B2          BTL      7m  Cum85                                 
   75926.795*(13) CH2CHCN?   8(5)-7(5)                      b    Sgr B2          BTL      7m  Cum85                                 
   75927.705*(14) CH2CHCN?   8(3,6)-7(3,5)                  b    Sgr B2          BTL      7m  Cum85                                 
   75931.857*(14) CH2CHCN?   8(3,5)-7(3,4)                  b    Sgr B2          BTL      7m  Cum85                                 
   75937.822*(13) CH2CHCN?   8(6)-7(6)                     0.13  Sgr B2          BTL      7m  Cum85                                 
   75987.149*( 4) DC3N       9-8                           0.11  TMC-1           FCRAO   14m  Sch81                                 
U  76090.         unidentified                             0.10  OriMC-1         OSO     20m  Joh84                                 
   76117.43 *( 1) C4H        8-7 J=17/2-15/2               0.17  IRC+10216       OSO     20m  Joh84  Got83                          
   76128.895*(16) CH2CHCN    8(2,6)-7(2,5)                 0.10  OriMC-1         OSO     20m  Joh84                                 
U  76152.         unidentified                             0.10  OriMC-1         OSO     20m  Joh84                                 
   76156.02 *( 1) C4H        8-7 J=15/2-13/2               0.17  IRC+10216       OSO     20m  Joh84  Got83                          
U  76168.         unidentified                             0.12  OriMC-1         OSO     20m  Joh84                                 
   76199.199 (60) C3H        2P1/2 J=7/2-5/2b              0.12  IRC+10216       OSO     20m  Tha85  Tha85                          
