27 June 2011.
Move 10m antennas on stations 49 and 75 to 58 and 31 to avoid shadowing 3.5 antennas
shadowing computed with select=-shadow(10.4)
Config  DEC  HA[hrs]  Rms[mJy]  Beam[arcsec]  Tb_rms[mK]  Sidelobe[%]:Rms,Max,Min  Nvis[%] uvrange[m]  weighting
# 23-antenna configurations HA=-4,4
carma_EZE -30  -4,4,.5  1    4.15    6.85 x 2.32  6.0    5.8  32.9  -17.6   5  156  1.5 80.4 sup=0
carma_EZ  -30  -4,4,.5  1    5.87    5.88 x 2.62  8.8    7.5  35.7  -26.9   3   92  1.5 75.3 sup=0
carma_EZE   0  -4,4,.5  1    0.71    3.88 x 2.88  1.5    3.1  26.2  -12.4  20  815  2.4 80.4 sup=0
carma_EZ    0  -4,4,.5  1    0.84    3.63 x 3.35  1.6    3.5  37.2  -14.9  14  585  2.4 75.6 sup=0
carma_EZE  30  -4,4,.5  1    0.47    3.11 x 2.98  1.2    2.2  11.8   -9.0  29 1160  3.3 80.4 sup=0
carma_EZ   30  -4,4,.5  1    0.52    3.68 x 2.86  1.1    2.3  11.5   -9.5  24  961  3.3 75.6 sup=0
# 15-antenna configurations HA=-4,4
carma_EE  -30  -4,4,.5  1    4.37    8.56 x 2.63  4.5    6.1  35.7  -20.5  11  153  2.1 75   sup=0
carma_E   -30  -4,4,.5  1    5.26   10.84 x 2.93  3.8    7.3  38.8  -28.3   7   96  2.1 60.6 sup=0
carma_EE    0  -4,4,.5  1    0.84    4.33 x 2.91  1.5    3.5  38.2  -14.7  35  586  3.3 74.7 sup=0
carma_E     0  -4,4,.5  1    0.84    4.10 x 3.45  1.4    3.7  44.7  -17.1  33  555  3.3 66.3 sup=0
carma_EE   30  -4,4,.5  1    0.58    3.74 x 2.91  1.2    2.6  12.6  -11.0  45  757  6   74.7 sup=0
carma_E    30  -4,4,.5  1    0.58    3.85 x 3.14  1.1    2.6  13.4  -10.7  45  757  6   66.3 sup=0
# 23-antenna configurations HA=-2,2
carma_EZE -30  -2,2,.5  1    3.51    7.13 x 2.26  5.0    6.7  63.6  -21.3  6   114  1.8 80.4 sup=0
carma_EZ  -30  -2,2,.5  1    5.27    5.65 x 2.67  8.1    9.8  73.1  -43.8  3    54  1.8 73.8 sup=0
carma_EZE   0  -2,2,.5  1    0.80    3.93 x 2.67  1.8    3.8  31.5  -12.9  25  498  3.6 80.4 sup=0
carma_EZ    0  -2,2,.5  1    0.94    3.74 x 3.09  1.9    4.3  44.1  -13.7  18  362  3.6 75.3 sup=0
carma_EZE  30  -2,2,.5  1    0.58    3.13 x 2.86  1.5    2.9  21.6   -9.2  33  663  4.5 80.4 sup=0
carma_EZ   30  -2,2,.5  1    0.62    3.60 x 2.78  1.4    2.9  16.2  -10.1  29  588  4.5 75.6 sup=0
# 15-antenna configurations HA=-2,2
carma_EE  -30  -2,2,.5  1    3.56    8.15 x 2.60  3.9    6.7  45.9  -30.1  13  111  3.3 74.7 sup=0
carma_E   -30  -2,2,.5  1    4.69    8.20 x 3.21  4.1    8.9  45.6  -35.7   8   64  3.3 54 sup=0
carma_EE    0  -2,2,.5  1    0.95    4.40 x 2.72  1.8    4.4  50.9  -16.1  42  352  6.3 74.7 sup=0
carma_E     0  -2,2,.5  1    0.95    3.97 x 3.54  1.6    4.3  52.0  -17.2  42  352  6.3 63 sup=0
carma_EE   30  -2,2,.5  1    0.72    3.81 x 2.78  1.6    3.4  16.5  -10.5  51  430  7.5 74.7 sup=0
carma_E    30  -2,2,.5  1    0.72    3.73 x 3.14  1.4    3.4  17.2  -12.7  51  430  7.5 66.3 sup=0
